code9,prov,city,district,town
110101001,北京市,市辖区,东城区,东华门街道
110101002,北京市,市辖区,东城区,景山街道
110101003,北京市,市辖区,东城区,交道口街道
110101004,北京市,市辖区,东城区,安定门街道
110101005,北京市,市辖区,东城区,北新桥街道
110101006,北京市,市辖区,东城区,东四街道
110101007,北京市,市辖区,东城区,朝阳门街道
110101008,北京市,市辖区,东城区,建国门街道
110101009,北京市,市辖区,东城区,东直门街道
110101010,北京市,市辖区,东城区,和平里街道
110101011,北京市,市辖区,东城区,前门街道
110101012,北京市,市辖区,东城区,崇文门外街道
110101013,北京市,市辖区,东城区,东花市街道
110101014,北京市,市辖区,东城区,龙潭街道
110101015,北京市,市辖区,东城区,体育馆路街道
110101016,北京市,市辖区,东城区,天坛街道
110101017,北京市,市辖区,东城区,永定门外街道
110102001,北京市,市辖区,西城区,西长安街街道
110102003,北京市,市辖区,西城区,新街口街道
110102007,北京市,市辖区,西城区,月坛街道
110102009,北京市,市辖区,西城区,展览路街道
110102010,北京市,市辖区,西城区,德胜街道
110102011,北京市,市辖区,西城区,金融街街道
110102012,北京市,市辖区,西城区,什刹海街道
110102013,北京市,市辖区,西城区,大栅栏街道
110102014,北京市,市辖区,西城区,天桥街道
110102015,北京市,市辖区,西城区,椿树街道
110102016,北京市,市辖区,西城区,陶然亭街道
110102017,北京市,市辖区,西城区,广安门内街道
110102018,北京市,市辖区,西城区,牛街街道
110102019,北京市,市辖区,西城区,白纸坊街道
110102020,北京市,市辖区,西城区,广安门外街道
110105001,北京市,市辖区,朝阳区,建外街道
110105002,北京市,市辖区,朝阳区,朝外街道
110105003,北京市,市辖区,朝阳区,呼家楼街道
110105004,北京市,市辖区,朝阳区,三里屯街道
110105005,北京市,市辖区,朝阳区,左家庄街道
110105006,北京市,市辖区,朝阳区,香河园街道
110105007,北京市,市辖区,朝阳区,和平街街道
110105008,北京市,市辖区,朝阳区,安贞街道
110105009,北京市,市辖区,朝阳区,亚运村街道
110105010,北京市,市辖区,朝阳区,小关街道
110105011,北京市,市辖区,朝阳区,酒仙桥街道
110105012,北京市,市辖区,朝阳区,麦子店街道
110105013,北京市,市辖区,朝阳区,团结湖街道
110105014,北京市,市辖区,朝阳区,六里屯街道
110105015,北京市,市辖区,朝阳区,八里庄街道
110105016,北京市,市辖区,朝阳区,双井街道
110105017,北京市,市辖区,朝阳区,劲松街道
110105018,北京市,市辖区,朝阳区,潘家园街道
110105019,北京市,市辖区,朝阳区,垡头街道
110105020,北京市,市辖区,朝阳区,首都机场街道
110105021,北京市,市辖区,朝阳区,南磨房地区
110105022,北京市,市辖区,朝阳区,高碑店地区
110105023,北京市,市辖区,朝阳区,将台地区
110105024,北京市,市辖区,朝阳区,太阳宫地区
110105025,北京市,市辖区,朝阳区,大屯街道
110105026,北京市,市辖区,朝阳区,望京街道
110105027,北京市,市辖区,朝阳区,小红门地区
